 Boro-Block-Lot, Condo Section, Neighborhood, Building Classification, Total Units, Year Built, Gross SqFt, Est. Gross Income, Gross Income per SqFt, Full Market Value,Market Value per SqFt,Normalized Market Value per SqFt,Normalized Gross Income,Normalized Gross Income per sqt,normailized full market value
1-01600-7501,1073-R1,3,2,240,1999,312016,7800400,25,34900000,112,109.3613147,7616624.997,24.41100776,34122479.97
1-01720-7501,1323-R1,3,1,36,1909,40987,656000,16.01,2670000,65,63.46862017,640741.9576,15.63280937,2601388.335
1-01721-7501,751-R1,3,1,24,1900,27073,415000,15.33,1690000,62,60.53929924,405251.1335,14.96882996,1638980.448
1-01724-7501,1713-R1,3,1,23,2005,32150,691225,21.5,3089998,96,93.73826978,674939.9534,20.99346667,3013685.373
1-01727-7501,1578-R1,3,1,77,2005,131237,3674636,28,17800005,136,132.7958822,3588062.716,27.34032869,17427733.19
1-01729-7501,846-R1,3,1,34,1898,28408,519866,18.3,2109999,74,72.25658296,507618.509,17.86885768,2052665.009
1-01729-7503,1530-R1,3,0,12,2004,15230,369936,24.29,1650001,108,105.4555535,361221.1062,23.71773514,1606088.08
1-01745-7501,1382-R1,3,2,92,2003,97592,3099521,31.8,15000000,154,150.3718078,3030309.856,31.05080187,14675085.47
1-01753-7501,1525-R1,3,1,12,2005,12000,340000,28.3,1649998,137,133.7723225,331599.1294,27.63326078,1605267.87
1-01753-7502,1656-R1,3,1,18,2004,15023,360000,23.96,1610001,107,104.4791132,351470.7442,23.39550983,1569589.718
1-01755-7501,1470-R1,3,0,25,2004,40418,999941,24.74,4470000,111,108.3848744,976383.0129,24.15713328,4380699.853
1-01820-7501,592-R1,3,1,35,1910,36637,623000,17,2529997,69,67.37438141,608155.3418,16.59948527,2468395.212
1-01820-7502,1520-R1,3,1,17,1900,22039,661170,30,3200000,145,141.583845,645593.04,29.29320931,3120366.36
1-01823-7501,807-R1,3,1,54,1915,58429,847000,14.5,3360006,58,56.63353799,827260.248,14.1583845,3309040.991
1-01823-7502,1545-R1,3,1,15,1900,18567,464175,25,2069998,111,108.3848744,453239.1811,24.41100776,2012381.963
1-01826-7501,591-R1,3,1,35,1911,48636,827000,17,3359999,69,67.37438141,807332.5656,16.59948527,3276820.414
1-01826-7502,1662-R1,3,1,24,0,18540,315000,16.99,1279997,69,67.37438141,307573.4249,16.58972087,1249121.031
1-01828-7501,749-R1,3,1,14,1900,18448,314000,17.02,1280000,69,67.37438141,306587.5717,16.61901408,1242922.588
1-01828-7502,1332-R1,3,1,13,1920,23700,403000,17,1640000,69,67.37438141,393407.8009,16.59948527,1596772.839
1-01828-7503,1540-R1,3,0,13,1900,6866,205980,30,997999,145,141.583845,201127.1751,29.29320931,972114.6798
1-01828-7505,1684-R1,3,0,14,0,6846,205380,30,994998,145,141.583845,200541.3109,29.29320931,969283.0029
1-01829-7501,1440-R1,3,1,33,0,28560,685440,24,3060001,107,104.4791132,669291.2464,23.43456745,2983923.473
1-01831-7501,1657-R1,3,0,20,1900,7852,235560,30,1140000,145,141.583845,230010.2795,29.29320931,1111716.351
1-01901-7501,1478-R1,3,2,28,2004,52916,1693312,32,8200000,155,151.3482481,1653418.095,31.24608993,8008743.896
1-01901-7501,1478-R2,3,2,23,2004,37719,1207008,32,5850000,155,151.3482481,1178571.266,31.24608993,5708704.57
1-01903-7501,1495-R1,3,1,25,1910,36345,944970,26,4580008,126,123.0314791,922706.8001,25.38744807,4471579.108
1-01908-7502,1699-R1,3,1,21,1906,46991,1128000,24,5040000,107,104.4791132,1101213.759,23.43456745,4909578.008
1-01914-7502,1690-R1,3,1,19,2007,29315,762190,26,3689998,126,123.0314791,744233.0402,25.38744807,3606667.81
1-01922-7501,1733-R1,3,1,16,1910,15210,182520,12,642998,42.3,41.30342512,178219.8854,11.71728372,628225.0961
1-01924-7501,1348-R1,3,1,64,2003,63252,1550000,24.51,6930002,110,107.4084341,1513781.779,23.932552,6793798.274
1-01924-7502,1488-R1,3,1,74,2003,59844,1496100,25,6690002,112,109.3613147,1460852.348,24.41100776,6544618.517
1-01924-7502,1488-R2,3,1,22,2004,19500,487500,25,2180000,112,109.3613147,476014.6513,24.41100776,2132545.637
1-01930-7501,1712-R1,3,1,11,1910,25230,630750,25,2819999,112,109.3613147,615889.7258,24.41100776,2759185.97
1-01942-7501,887-R1,3,0,32,1994,35082,877000,25,3920000,112,109.3613147,856386.9742,24.41100776,3836613.642
1-01942-7502,1284-R1,3,1,36,1933,38386,633369,16.5,2580001,67,65.42150079,618447.0229,16.11126512,2511269.729
1-01943-7501,793-R1,3,1,41,1900,45436,863000,18.99,3510004,77,75.18590389,842501.6413,18.54260149,3416146.729
1-01943-7502,1373-R1,3,1,49,1901,66936,1390000,20.77,6210000,93,90.80894885,1357506.609,20.28066524,6078387.8
1-01943-7503,1515-R1,3,1,95,2005,147404,3699840,25.1,16500000,112,109.3613147,3612673.308,24.50865179,16120295.23
1-01944-7502,1190-R1,3,0,49,1931,47759,907000,18.99,3690002,77,75.18590389,885576.1046,18.54260149,3590803.584
1-01945-7502,1391-R1,3,1,48,2003,82000,1783500,21.75,7970002,97,94.71471009,1741481.294,21.23757675,7766606.227
1-01945-7503,1556-R1,3,2,123,2004,98058,2941740,30,14300000,146,142.5602853,2872433.519,29.29320931,13979176.46
1-01946-7501,1681-R1,3,1,54,2006,67413,2022390,30,9799996,145,141.583845,1974743.119,29.29320931,9544591.743
1-01947-7501,1289-R1,3,2,74,2003,93600,2424240,25.9,11700000,125,122.0550388,2367125.658,25.28980404,11424351.63
1-01955-7501,1340-R1,3,0,15,1910,23765,492000,20.7,2200002,93,90.80894885,480345.6522,20.21231442,2158074.669
1-01959-7501,1423-R1,3,1,170,2003,240000,4968000,20.7,22199996,92,89.83250854,4850955.461,20.21231442,21559802.05
1-01960-7502,899-R1,3,0,28,1994,41964,1049000,25,4689997,112,109.3613147,1024383.53,24.41100776,4589238.21
1-02023-7503,874-R1,3,0,28,1993,30976,774000,24.99,3459985,112,109.3613147,755852.914,24.40124335,3387576.084
1-02034-7501,1365-R1,3,2,104,1920,143389,3226252,22.5,14400000,100,97.64403103,3150242.992,21.96990698,14001079.97
1-02041-7502,900-R1,3,0,28,1994,36188,905000,25,4040010,112,109.3613147,883385.5488,24.41100776,3957567.256
1-02041-7503,1716-R1,3,1,14,1894,18306,549180,30,2660002,145,141.583845,536241.4896,29.29320931,2591833.867
1-02042-7502,974-R1,3,0,47,1896,76584,1685000,22,7529994,98,95.69115041,1645153.504,21.48168683,7328411.063
1-02044-7501,1422-R1,3,2,128,2003,212047,4399975,20.75,19700000,93,90.80894885,4296313.199,20.26113644,19255765.18
1-02045-7501,1640-R1,3,1,180,2005,204835,4219601,20.6,18899987,92,89.83250854,4120188.509,20.11467039,18400841.89
1-02051-7501,1327-R1,3,2,77,2001,91858,2296450,25,10300000,112,109.3613147,2242346.351,24.41100776,10045711.65
1-01623-7501,1322-R1,3,2,152,2003,109646,2839831,25.9,13800000,126,123.0314791,2772925.854,25.28980404,13489909.56
1-01627-7501,1628-R1,3,1,13,2004,6342,200000,31.5,968999,153,149.3953675,195066.4101,30.75786977,947465.4207
1-01630-7501,441-R1,3,0,17,1920,9590,175017,18.25,712002,74,72.25658296,170894.142,17.82003566,692940.6306
1-01630-7501,441-R2,3,0,17,1920,9590,175017,18.25,711999,74,72.25658296,170894.142,17.82003566,692940.6306
1-01630-7502,1801-R1,3,1,11,2006,12184,426440,35,2140000,176,171.8534946,416393.2059,34.17541086,2093862.978
1-01632-7501,666-R1,3,0,12,1910,7690,150000,19.51,670000,87,84.95030699,146497.195,19.05035045,653267.8608
1-01646-7501,1462-R1,3,1,17,1987,22626,570627,25.2,709000,31.3,30.56258171,556742.0492,24.60629582,691508.9738
1-01646-7502,1512-R1,3,1,262,2005,241417,6880384,28.5,33300000,138,134.7487628,6718284.775,27.82854884,32530642.07
1-01646-7502,1512-R2,3,2,215,2005,184939,5270761,28.5,25500000,138,134.7487628,5146583.994,27.82854884,24920301.44
1-01661-7501,1403-R1,3,1,22,2003,20200,580000,28.7,2810000,139,135.7252031,566081.5054,28.0238369,2741649.103
1-01674-7501,1471-R1,3,2,233,2003,315656,9000000,28.5,43600000,138,134.7487628,8784248.413,27.82854884,42534255.47
1-01676-7501,342-R1,3,0,12,1900,6092,120000,19.7,535999,88,85.9267473,117184.9451,19.23587411,523465.7446
1-01677-7503,574-R1,3,1,36,1929,33280,670000,20.13,2990000,90,87.87962792,654143.142,19.65574345,2924634.017
1-01680-7501,458-R1,3,1,33,1926,31857,610061,19.15,2730000,86,83.97386668,595688.6891,18.69883194,2675155.471
1-01681-7501,1573-R1,3,1,31,2006,32483,1299320,40,6530000,201,196.2645024,1268708.424,39.05761241,6375259.831
1-01683-7501,1479-R1,3,1,20,2004,19768,590000,29.8,2860001,145,141.583845,575207.7073,29.09792125,2798829.448
1-01807-7501,1732-R1,3,1,12,2006,9745,241865,24.82,1080000,111,108.3848744,236172.4966,24.2352485,1056210.601
1-02066-7501,561-R1,3,0,38,1926,25050,500000,19.96,2229996,89,86.90318761,488218.2022,19.48974859,2176924.85
1-02079-7501,1490-R1,3,1,12,2005,12000,444000,37,2230000,186,181.6178977,433539.4978,36.12829148,2179414.772
1-02090-7501,1832-R1,3,1,54,1908,30886,414273,13.41,1520002,49.2,48.04086326,404423.278,13.09406456,1483790.103
1-02094-7501,1673-R1,3,1,50,1913,86020,1419000,16.5,5769999,67,65.42150079,1385891.026,16.11126512,5627557.498
1-02095-7501,1710-R1,3,1,50,2005,9672,1275210,132,6409992,663,647.3799257,1246625.25,128.890121,6261458.641
1-02096-7501,1680-R1,3,1,74,1912,107100,1285200,12,4530002,42.3,41.30342512,1254921.086,11.71728372,4423596.83
1-01988-7501,1273-R1,3,1,13,2002,19781,590000,29.8,2860001,145,141.583845,575585.9802,29.09792125,2800670.038
1-01988-7502,1565-R1,3,1,29,2006,31308,1000000,31.9,4850000,155,151.3482481,975195.5442,31.1484459,4738410.952
1-01314-7501,319-R1,4,1,364,1986,351161,12100000,34.5,60799998,173,212.7337949,14897581.04,42.42379148,74703812.15
1-01319-7501,482-R1,4,1,101,1970,60900,1600000,26.3,7750003,127,156.1687396,1969533.742,32.34045553,9510676.242
1-01319-7502,1614-R1,4,1,18,2001,11861,520000,43.8,2609999,220,270.5285254,638830.7326,53.85977005,3208738.84
1-01320-7501,85-R1,4,1,231,1982,350000,12370000,35.3,62200034,178,218.8821705,15192636.05,43.40753157,76608759.68
1-01320-7502,238-R1,4,1,48,1985,77029,2960000,38.4,14900002,193,237.3272972,3637272.747,47.21952443,18281084.38
1-01320-7503,240-R1,4,1,92,1957,63927,1950000,30.5,9450027,148,181.9919171,2397587.954,37.50509102,11634197.28
1-01320-7504,451-R1,4,1,129,1956,81745,2340000,28.6,11299998,138,169.6951659,2874866.06,35.1687083,13871731.34
1-01320-7505,620-R1,4,1,173,1988,164753,7200000,43.7,36200002,220,270.5285254,8853299.429,53.73680254,44570386.15
1-01322-7501,201-R1,4,1,162,1959,170631,4400000,25.8,21299999,125,153.7093894,5413373.92,31.72561797,26227586.82
1-01323-7501,185-R1,4,1,174,1985,193134,7085000,36.7,35599962,184,226.2602212,8715959.105,45.12907673,43698541.56
1-01324-7501,518-R1,4,1,16,1980,19082,680000,35.6,3420002,179,220.1118456,835341.9155,43.7764341,4200174.238
1-01325-7501,227-R1,4,1,25,1984,46800,1480000,31.6,7170001,153,188.1402926,1818541.934,38.85773364,8804965.694
1-01325-7502,424-R1,4,1,27,1901,15410,460000,29.9,2230001,145,178.3028917,566583.8765,36.76728595,2747647.561
1-01327-7501,795-R1,4,2,146,1957,126021,3675000,29.2,17800000,141,173.3841913,4524974.721,35.90651337,21850049.17
1-01327-7502,896-R1,4,1,178,1990,237531,9450000,39.8,47500007,200,245.9350231,11625021.2,48.94106959,58417191.97
1-01329-7501,2007-R1,4,1,40,2000,54638,3100000,57,15600006,286,351.687083,3829658.37,70.09148157,19215478.84
1-01330-7501,1563-R1,4,1,38,2004,70308,3050000,43.4,15299992,218,268.0691751,3752190.313,53.3679,18847407.56
1-01331-7501,541-R1,4,1,115,1963,128436,3300000,25.7,15999999,125,153.7093894,4058918.014,31.60265046,19741819.14
1-01331-7502,563-R1,4,2,260,1964,305093,7750000,25.4,37500000,123,151.2500392,9529197.857,31.23374793,46145328.21
1-01331-7503,1538-R1,4,1,67,2005,104916,3610000,34.4,18200005,173,212.7337949,4438033.248,42.30082397,22319178.83
1-01336-7501,168-R1,4,1,79,1983,127399,4720000,37,23699978,186,228.7195714,5796397.06,45.49797926,29138644.68
1-01338-7501,247-R1,4,1,113,1980,86845,3230000,37.2,16200004,187,229.9492466,3972630.237,45.74391429,19969942.32
1-01338-7502,614-R1,4,1,166,1977,122021,4410000,36.1,22199996,182,223.800871,5416667.359,44.39127166,27308406.08
1-01340-7501,1165-R1,4,1,373,2000,825532,48430000,59,243999996,296,363.9838341,59893033.28,72.5508318,300480302.5
1-01341-7501,176-R1,4,1,141,1962,89872,2390000,26.6,11599999,129,158.6280899,2939655.428,32.70935807,14256223.7
1-01341-7502,259-R1,4,1,126,1962,82112,2150000,26.2,10400007,127,156.1687396,2645442.376,32.21748802,12823327.55
1-01341-7503,336-R1,4,1,237,1984,438326,16510000,37.7,83000002,189,232.4085968,20320246.26,46.35875185,101870730.6
1-01341-7504,931-R1,4,1,16,1900,8214,230000,28,1110000,135,166.0061406,282815.4391,34.43090323,1363574.439
1-01341-7505,1792-R1,4,1,81,0,78000,1723800,22.1,6820800,87,106.981735,2119713.964,27.17582005,8344575.33
1-01342-7501,61-R1,4,1,85,1982,119419,4370000,36.6,21999985,184,226.2602212,5374584.557,45.00610922,27019769.36
1-01342-7502,105-R1,4,1,20,1982,33376,1250000,37.5,6289994,188,231.1789217,1539061.374,46.11281682,7715827.691
1-01342-7503,1357-R1,4,0,15,1920,10550,410000,38.9,2059999,195,239.7866475,504652.5189,47.83436198,2529749.131
1-01343-7501,60-R1,4,1,115,1931,93015,2000000,21.5,8940000,96,118.0488111,2459131.963,26.43801498,10980310.16
1-01343-7504,1809-R1,4,1,23,1900,35615,1450000,40.7,7289997,205,252.0833986,1782451.585,50.04777719,8977950.241
1-01344-7501,145-R1,4,1,97,1963,67540,1745000,25.8,8450004,125,153.7093894,2142748.238,31.72561797,10381532.16
1-01344-7502,1212-R1,4,1,64,2000,158085,8600000,54,43200009,273,335.7013065,10497232.29,66.40245622,53069341.04
1-01345-7501,1594-R1,4,1,85,2006,166692,7300000,43.8,36699998,220,270.5285254,8977992.789,53.85977005,45094940.96
1-01346-7501,323-R1,4,1,90,1959,65000,1725000,26.5,8360004,129,158.6280899,2118115.386,32.58639055,10310825.84
1-01346-7503,475-R1,4,1,59,1941,53435,1475000,27.6,7150001,134,164.7764654,1813532.238,33.93903318,8804830.429
1-01347-7501,1396-R1,4,1,118,2003,183619,6330000,34.5,31800015,173,212.7337949,7789814.168,42.42379148,39061966.69
1-01349-7501,510-R1,4,2,174,1960,198115,5225000,26.4,25300000,128,157.3984148,6431491.056,32.46342304,31182986.95
1-01349-7502,1632-R1,4,1,14,2005,41406,2318736,56,11700000,283,347.9980576,2851291.958,68.86180646,14409207.57
1-01350-7501,178-R1,4,2,115,1958,95347,2570000,27,12500000,131,161.0874401,3165637.497,33.20122811,15359204.15
1-01362-7502,1279-R1,4,1,113,2002,146025,8400000,58,42200009,289,355.3761083,10414671.91,71.32115669,51893796.21
1-01365-7501,283-R1,4,1,189,1958,196802,5150000,26.2,24999994,127,156.1687396,6340466.077,32.21748802,30734320.29
1-01365-7502,575-R1,4,1,228,1972,242825,7350000,30.3,35599995,147,180.7622419,9047454.553,37.25915599,43893591.39
1-01366-7501,59-R1,4,1,106,1983,174032,7290000,41.9,36699991,211,259.4614493,8966718.144,51.52338733,45154594.94
1-01368-7501,91-R1,4,1,60,1929,97636,2565000,26.3,12400001,127,156.1687396,3157592.716,32.34045553,15247691.06
1-01369-7501,278-R1,4,1,75,1986,85992,3000000,34.9,15100019,176,216.4228203,3690403.565,42.91566152,18610631.16
1-01370-7501,37-R1,4,1,75,1981,61175,2130000,34.8,10700001,175,215.1931452,2617843.056,42.79269401,13164440.66
1-01003-7501,347-R1,5,1,445,1927,328716,11505000,35,53615080,163,188.1220456,13278254.12,40.39430426,61838726.34
1-01006-7501,130-R1,5,1,212,1968,223307,8932000,40,35353449,158,182.3514307,10308949.6,46.16491916,40720350.94
1-01008-7501,84-R1,5,1,50,1982,96492,3281000,34,16500003,171,197.3550294,3786363.572,39.24018128,19043181.5
1-01008-7502,534-R1,5,1,65,1926,74422,2530000,34,12700000,171,197.3550294,2920332.771,39.24018128,14687556
1-01008-7503,540-R1,5,1,340,1987,494266,19771000,40,99400007,201,231.9787188,22817749.93,46.16491916,114659193.4
1-01009-7501,364-R1,5,1,247,1986,399221,15969000,40,73426218,184,212.3586281,18430005.19,46.16491916,84778023.87
1-01010-7501,165-R1,5,2,38,1916,43765,1357000,31,6570000,150,173.1184468,1565815.957,35.77781235,7576528.824
1-01010-7502,513-R1,5,1,33,1923,32796,1050000,32,4804247,146,168.5019549,1211219.751,36.93193533,5526190.113
1-01010-7504,1153-R1,5,1,35,1922,88288,3355000,38,16899998,191,220.437489,3872017.963,43.8566732,19461985.03
1-01010-7505,1524-R1,5,1,103,1926,121921,4880000,40,24500005,201,231.9787188,5628473.109,46.16491916,28283077.37
1-01011-7501,11-R1,5,1,161,1930,159786,4739000,29.7,23799996,149,171.9643239,5477057.02,34.27745247,27477491.46
1-01011-7502,496-R1,5,1,420,1930,468144,18959832,40.5,95300011,204,235.4410877,21881977.79,46.74198065,110220332.6
1-01011-7503,696-R1,5,1,79,1950,78236,2855614,36.5,14399999,184,212.3586281,3295729.736,42.12548873,16614089.63
1-01011-7504,767-R1,5,2,34,1912,35328,1130496,32,5480000,155,178.8890617,1304731.411,36.93193533,6319792.772
1-01011-7505,1018-R1,5,1,80,1918,87821,3820213,43.5,19199988,219,252.7529324,4408996.184,50.20434958,22197015.28
1-01020-7502,1519-R1,5,1,137,2005,165323,8596000,52,43199986,261,301.2260975,9921759.81,60.01439491,49799602.12
1-01025-7501,606-R1,5,2,129,1916,128513,4305185,33.5,20900000,163,188.1220456,4968713.514,38.66311979,24176128.45
1-01027-7504,1278-R1,5,1,108,2002,185822,8326000,44.8,41899993,225,259.6776703,9607872.521,51.70470946,48253824.05
1-01028-7501,416-R1,5,1,484,1987,538783,17699021,32.8,85800000,159,183.5055537,20395756.38,37.85523371,98869672.74
1-01032-7501,1531-R1,5,1,528,2004,604403,22967314,38,114999964,190,219.283366,26507104.85,43.8566732,132535524.3
1-01040-7501,633-R1,5,1,704,1989,551052,22000000,39.9,110999966,201,231.9787188,25375672.85,46.04950686,127832337
1-01042-7502,1626-R1,5,1,215,2005,249339,11220000,45,56400003,226,260.8317932,12949554.12,51.93553405,65035538.48
1-01043-7501,288-R1,5,1,65,1942,54785,1808000,33,8759999,160,184.6596766,2086544.705,38.08605831,10116580.38
1-01043-7502,280-R1,5,1,65,1947,54655,1804000,33,8740010,160,184.6596766,2081593.517,38.08605831,10092574.62
1-01043-7503,1461-R1,5,1,66,2005,56935,2278000,40,11500008,202,233.1328417,2628399.672,46.16491916,13273418.34
1-01047-7501,115-R1,5,1,576,1904,609127,20710000,34,76449829,126,145.4194953,23902253.9,39.24018128,88578940.91
1-01047-7503,1750-R1,5,1,595,1978,706825,30888253,43.7,154999866,219,252.7529324,35648841.99,50.43517418,178652091.4
1-01048-7501,58-R1,5,1,261,1982,263995,10559800,40,53099949,201,231.9787188,12187307.83,46.16491916,61241221.87
1-01048-7503,538-R1,5,1,276,1987,314941,12597640,40,63299966,201,231.9787188,14539225.81,46.16491916,73059609.68
1-01048-7503,538-R2,5,1,20,1987,15764,614796,39,3090002,196,226.2081039,709550.191,45.01079618,3565944.55
1-01048-7504,800-R1,5,2,188,1940,158478,5071296,32,20911111,132,152.3442332,5852899.247,36.93193533,24143209.39
1-01049-7501,1311-R1,5,1,129,1955,377444,21375000,57,107022294,284,327.770926,24830157.24,65.7850098,123715169.4
1-01049-7501,1311-R2,5,1,65,1955,217897,12340000,57,61999994,285,328.925049,14334356.28,65.7850098,71671781.4
1-01263-7501,1655-R1,5,1,152,2005,148385,5935400,40,29800005,201,231.9787188,6850181.53,46.16491916,34422162.19
1-01269-7501,90-R1,5,1,248,1982,503000,20600000,41,103999978,207,238.9034566,23801478.2,47.31904214,120168438.7
1-01270-7501,1599-R1,5,1,35,1925,44350,1552250,35,7799998,176,203.1256443,1791487.394,40.39430426,9008622.325
1-01271-7501,7-R2,5,1,183,1963,141738,4960830,35,24899992,176,203.1256443,5725407.897,40.39430426,28790622.57
1-01273-7501,141-R1,5,1,168,1969,206973,8278920,40,41600007,201,231.9787188,9554891.813,46.16491916,48013331.37
1-01274-7502,702-R1,5,1,88,1901,68219,3069855,45,15399992,226,260.8317932,3542990.197,51.93553405,17793684.1
1-01274-7503,1150-R1,5,1,11,1931,84843,4242150,50,21299999,251,289.6848677,4895962.795,57.70614895,24577733.23
1-01274-7504,1508-R1,5,1,164,1907,395521,17007403,43,74619300,189,218.129243,19628634.61,49.62728809,86274696.32
1-00228-7501,1432-R1,6,1,11,2003,18305,842000,46,4230001,231,243.4289387,887335.3647,48.47502675,4455966.723
1-00473-7502,1179-R1,6,1,13,1890,78982,1800000,22.79,8040003,102,107.4881028,1896848.641,24.01621434,8489625.335
1-00473-7503,1663-R1,6,1,18,1874,27023,715000,26.5,3459998,128,134.887031,754639.7211,27.92583063,3645052.239
1-00474-7504,1185-R1,6,1,13,1894,23590,625000,26.5,3030001,128,134.887031,658770.3446,27.92583063,3181985.061
1-00474-7505,1205-R1,6,1,14,1920,28442,755000,26.5,3660001,129,135.9408359,794266.4748,27.92583063,3866429.255
1-00474-7506,1654-R1,6,1,41,2005,117311,4330000,36.9,21799998,186,196.0077169,4561685.381,38.88540189,22993861.28
1-00475-7503,916-R1,6,2,20,1920,32149,780000,24.26,3490000,109,114.8647373,821899.0737,25.56530759,3692786.439
1-00475-7505,1010-R1,6,1,14,1900,55210,1175000,21.28,5249999,95,100.1114683,1238082.533,22.4249689,5527154.165
1-00482-7502,1484-R1,6,1,52,2005,63762,2050000,32.2,9929999,156,164.393569,2163605.259,33.93251873,10482062.75
1-00498-7501,131-R1,6,1,14,1900,18031,435000,24.13,1939997,108,113.8109324,458497.9108,25.42831295,2052124.922
1-00499-7502,685-R1,6,1,19,1988,34876,770000,22.08,3440004,99,104.326688,811495.2158,23.26801284,3638497.571
1-00499-7505,1658-R1,6,1,14,2005,42823,1846527,43.1,9279998,217,228.6756697,1944977.514,45.41899246,9792578.204
1-00500-7501,123-R1,6,1,15,1907,20752,460000,22.17,2059999,99,104.326688,484825.9728,23.36285528,2164987.429
1-00500-7502,284-R1,6,1,29,1900,36223,775000,21.4,3460006,96,101.1652732,816880.2855,22.55142549,3664509.691
1-00500-7505,1241-R1,6,1,12,1879,34968,1470000,42,7390002,211,222.3528401,1547676.932,44.25980703,7775234.113
1-00501-7501,1199-R1,6,1,15,1920,31967,900000,28.2,4360001,136,143.3174704,949972.8975,29.71729901,4581429.576
1-00502-7501,135-R1,6,1,35,1900,34821,880000,25.3,3930007,113,119.079957,928371.8985,26.66126471,4146483.183
1-00512-7501,75-R1,6,1,21,1900,88258,2750000,31.2,13300001,151,159.1245443,2901809.523,32.8787138,14044014.03
1-00513-7503,1390-R1,6,1,32,2003,56800,2375000,41.8,11900000,210,221.2990352,2501985.816,44.04904605,12569785.2
1-00514-7505,1404-R1,6,1,15,2003,41314,1500000,36.3,7539999,183,192.8463021,1580389.356,38.25311894,7967252.125
1-00515-7501,1633-R1,6,1,16,2006,38591,1540000,39.9,7740006,201,211.8147908,1622628.702,42.04681668,8174144.592
1-00517-7501,736-R1,6,2,38,1950,20826,475000,22.81,2120000,102,107.4881028,500600.6107,24.03729044,2238547.229
1-00518-7502,670-R1,6,0,27,1900,13020,290000,22.27,1300003,100,105.3804929,305556.4299,23.46823578,1372054.018
1-00518-7504,1093-R1,6,0,15,1920,6013,135000,22.45,602999,100,105.3804929,142255.077,23.65792067,633652.9038
1-00520-7501,66-R1,6,1,38,1900,33383,900000,27,4360004,131,138.0484458,949837.5887,28.45273309,4608471.266
1-00594-7503,1399-R1,6,1,104,2003,196695,8100000,41.2,40700006,207,218.1376204,8539860.216,43.41676309,42906579.24
